currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
long_average,0.0000,0.0000,0.0001,0.0002,0.0003,0.0004
,,,,,,
currency,dotusd,dotusd,dotusd,dotusd,dotusd,dotusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,25112,15838,10095,6543,4390,3010
short_wins,11731,7532,4785,3074,2054,1387
short_total_percent,-7.5044,-5.2414,-4.1716,-3.4882,-2.9611,-2.4194
short_average,-0.0003,-0.0003,-0.0004,-0.0005,-0.0007,-0.0008
,,,,,,
currency,adausd,adausd,adausd,adausd,adausd,adausd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,22178,14448,9620,6481,4482,3172
long_wins,11405,7579,5185,3563,2457,1780
long_total_percent,5.6129,5.3115,5.5496,4.7634,3.3822,3.2169
long_average,0.0003,0.0004,0.0006,0.0007,0.0008,0.0010
,,,,,,
currency,adausd,adausd,adausd,adausd,adausd,adausd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,22540,14707,9721,6467,4390,3035
short_wins,11088,7202,4765,3179,2128,1469
short_total_percent,-0.2980,-0.5380,-0.9890,-1.0823,-1.2598,-1.0183
short_average,0.0000,0.0000,-0.0001,-0.0002,-0.0003,-0.0003
,,,,,,
currency,iotusd,iotusd,iotusd,iotusd,iotusd,iotusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,24766,17244,12076,8486,5989,4269
long_wins,12509,8843,6413,4629,3351,2427
long_total_percent,3.0531,3.1629,4.8067,4.9942,4.3215,3.4265
long_average,0.0001,0.0002,0.0004,0.0006,0.0007,0.0008
,,,,,,
currency,iotusd,iotusd,iotusd,iotusd,iotusd,iotusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,24489,16378,11055,7474,5115,3580
short_wins,11402,7742,5270,3517,2439,1701
short_total_percent,-3.9771,-2.4931,-1.8121,-1.6451,-1.5184,-1.4239
short_average,-0.0002,-0.0002,-0.0002,-0.0002,-0.0003,-0.0004
,,,,,,
currency,uniusd,uniusd,uniusd,uniusd,uniusd,uniusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,22680,15082,9880,6514,4377,3018
long_wins,10738,7417,4968,3339,2304,1605
long_total_percent,-0.3995,1.0104,1.2392,1.1882,1.0570,1.2867
long_average,0.0000,0.0001,0.0001,0.0002,0.0002,0.0004
,,,,,,
currency,uniusd,uniusd,uniusd,uniusd,uniusd,uniusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,22714,15028,9803,6527,4513,3160
short_wins,10489,7034,4631,3062,2133,1491
short_total_percent,-5.3535,-4.0389,-3.3709,-3.2731,-2.7032,-2.4148
short_average,-0.0002,-0.0003,-0.0003,-0.0005,-0.0006,-0.0008
,,,,,,
currency,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,24994,17275,11778,7975,5448,3704
long_wins,12422,8754,6083,4180,2888,2020
long_total_percent,1.3347,2.0997,2.6577,2.7007,2.3014,2.1916
long_average,0.0001,0.0001,0.0002,0.0003,0.0004,0.0006
,,,,,,
currency,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,24836,16880,11170,7452,5064,3406
short_wins,11837,8124,5352,3597,2415,1614
short_total_percent,-4.4711,-3.4170,-3.1944,-2.9390,-2.4427,-1.9456
short_average,-0.0002,-0.0002,-0.0003,-0.0004,-0.0005,-0.0006
,,,,,,
currency,trxusd,trxusd,trxusd,trxusd,trxusd,trxusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,16869,10289,6469,4100,2665,1760
long_wins,8778,5407,3464,2237,1473,1004
long_total_percent,3.2479,1.8780,1.6416,1.4384,0.9361,0.8486
long_average,0.0002,0.0002,0.0003,0.0004,0.0004,0.0005
,,,,,,
currency,trxusd,trxusd,trxusd,trxusd,trxusd,trxusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,16615,9780,5839,3561,2215,1398
short_wins,8168,4837,2862,1722,1062,663
short_total_percent,0.9418,0.4735,-0.2784,-0.4387,-0.2847,-0.3068
short_average,0.0001,0.0000,0.0000,-0.0001,-0.0001,-0.0002
,,,,,,
currency,omgusd,omgusd,omgusd,omgusd,omgusd,omgusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,29964,21497,15139,10539,7252,5088
long_wins,14988,11011,7905,5546,3918,2798
long_total_percent,4.0684,5.2575,5.2514,4.7265,4.4455,3.5274
long_average,0.0001,0.0002,0.0003,0.0004,0.0006,0.0007
