cur1_up,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007
cur2_up,0.0,0.001,0.002,0.0,0.001,0.002,0.0,0.001,0.002,0.0,0.001,0.002,0.0,0.001,0.002
long_trades,92,337,834,34,94,226,24,50,105,17,27,55,11,16,28
long_wins,56,201,476,22,60,130,17,37,62,12,18,28,8,11,16
long_total_percent,0.25579569567162436,0.4138757466805728,0.5491719555792169,0.2549465390132342,0.36205037092164455,0.3942974759611481,0.24360188956861173,0.3407181781307528,0.331804946907685,0.17007642026689912,0.18379325421554288,0.1845190925212848,0.06208931495275738,0.05858439310312255,0.06460086738884734
long_average_percent,0.0027803879964306997,0.001228117942672323,0.0006584795630446246,0.0074984276180363,0.0038515996906557932,0.0017446790971732218,0.010150078732025489,0.006814363562615056,0.0031600471134065242,0.010004495309817596,0.006807157563538625,0.003354892591296087,0.005644483177523398,0.0036615245689451594,0.002307173835315976

cur1_down,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.006,-0.006,-0.006,-0.007,-0.007,-0.007
cur2_down,0.0,-0.001,-0.002,0.0,-0.001,-0.002,0.0,-0.001,-0.002,0.0,-0.001,-0.002,0.0,-0.001,-0.002
short_trades,123,335,837,52,118,256,36,59,112,25,37,55,21,29,39
short_wins,76,202,478,35,77,146,26,43,63,18,27,34,14,20,23
short_total_percent,0.38089013047718057,0.5498342553612876,0.705873816366194,0.3290507769921916,0.4146439993737318,0.39614238882890634,0.28317783993807016,0.3380971225194032,0.2898737052911044,0.25822063110685395,0.2809236589828403,0.23347027859740943,0.2376570949841984,0.24127926305909048,0.18773465889133012
short_average_percent,0.0030966677274567524,0.00164129628466056,0.000843337892910626,0.006327899557542146,0.003513932198082473,0.0015474312063629154,0.007866051109390837,0.005730459703718698,0.002588158082956289,0.010328825244274158,0.007592531323860548,0.004244914156316535,0.011317004523057067,0.008319974588244499,0.004813709202341798
