btcusd
ethusd
ustusd
xrpusd
ltcusd
solusd
eosusd
dotusd
adausd
iotusd
uniusd
xtzusd
trxusd
omgusd
zecusd
etcusd
udcusd
dshusd
xlmusd
neousd
