currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,5113,3642,2543,1873,1401,1040
short_wins,2485,1790,1236,944,716,530
short_total_percent,0.6307,1.2201,1.1481,1.3155,1.5534,0.8012
short_average,0.0001,0.0003,0.0005,0.0007,0.0011,0.0008
,,,,,,
currency,adausd,adausd,adausd,adausd,adausd,adausd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,3562,2576,1850,1400,1058,773
long_wins,1730,1278,925,724,562,430
long_total_percent,0.1831,0.3915,0.3332,0.6055,0.6366,0.7420
long_average,0.0001,0.0002,0.0002,0.0004,0.0006,0.0010
,,,,,,
currency,adausd,adausd,adausd,adausd,adausd,adausd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,3587,2594,1842,1340,962,709
short_wins,1699,1247,855,626,457,350
short_total_percent,-0.3849,-0.2234,-0.4349,-0.2656,-0.1240,0.1023
short_average,-0.0001,-0.0001,-0.0002,-0.0002,-0.0001,0.0001
,,,,,,
currency,iotusd,iotusd,iotusd,iotusd,iotusd,iotusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,75547,53601,38923,28900,22015,17106
long_wins,41936,30544,22736,17186,13349,10616
long_total_percent,53.5018,50.7464,48.0236,43.9277,40.2879,38.1944
long_average,0.0007,0.0009,0.0012,0.0015,0.0018,0.0022
,,,,,,
currency,iotusd,iotusd,iotusd,iotusd,iotusd,iotusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,75769,52484,37131,26955,20021,15240
short_wins,40572,28608,20668,15193,11442,8794
short_total_percent,44.4165,38.9290,34.0420,30.1417,26.1673,22.9375
short_average,0.0006,0.0007,0.0009,0.0011,0.0013,0.0015
,,,,,,
currency,uniusd,uniusd,uniusd,uniusd,uniusd,uniusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,4789,3638,2761,2077,1643,1274
long_wins,2414,1907,1507,1152,938,733
long_total_percent,0.7695,1.3514,1.6746,1.5774,1.5604,1.3717
long_average,0.0002,0.0004,0.0006,0.0008,0.0009,0.0011
,,,,,,
currency,uniusd,uniusd,uniusd,uniusd,uniusd,uniusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,4617,3420,2602,1932,1440,1127
short_wins,2237,1686,1314,975,719,553
short_total_percent,0.0737,-0.0124,-0.0287,0.1996,-0.1756,-0.2020
short_average,0.0000,0.0000,0.0000,0.0001,-0.0001,-0.0002
,,,,,,
currency,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,20174,15431,11918,9327,7395,5923
long_wins,9832,7705,6105,4891,3947,3242
long_total_percent,15.3175,16.2405,17.2208,17.0447,16.2742,16.0096
long_average,0.0008,0.0011,0.0014,0.0018,0.0022,0.0027
,,,,,,
currency,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd,xtzusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,19867,14866,11163,8586,6742,5349
short_wins,9317,7135,5499,4359,3542,2885
short_total_percent,13.4304,15.1714,15.6302,16.6023,16.4630,16.2198
short_average,0.0007,0.0010,0.0014,0.0019,0.0024,0.0030
,,,,,,
currency,trxusd,trxusd,trxusd,trxusd,trxusd,trxusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,34619,26647,20229,15278,11573,8775
long_wins,17888,14163,11030,8533,6562,5071
long_total_percent,27.5691,26.0361,23.9900,21.1445,18.3713,16.0559
long_average,0.0008,0.0010,0.0012,0.0014,0.0016,0.0018
,,,,,,
currency,trxusd,trxusd,trxusd,trxusd,trxusd,trxusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,35023,26731,20033,15023,11129,8374
short_wins,18393,14336,10984,8440,6352,4886
short_total_percent,30.6344,27.6975,25.6100,23.1562,19.5674,16.9811
short_average,0.0009,0.0010,0.0013,0.0015,0.0018,0.0020
,,,,,,
currency,omgusd,omgusd,omgusd,omgusd,omgusd,omgusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,70461,51768,38207,28616,21651,16455
long_wins,37301,27946,21068,16042,12339,9521
long_total_percent,47.9305,44.1172,42.0736,39.3522,35.7904,33.9810
long_average,0.0007,0.0009,0.0011,0.0014,0.0017,0.0021
,,,,,,
currency,omgusd,omgusd,omgusd,omgusd,omgusd,omgusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,70390,51233,37603,27813,20969,15874
short_wins,36725,26977,20064,14943,11411,8758
short_total_percent,36.6750,30.9529,27.5767,22.4702,19.8016,17.6618
