currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,78942,49974,33457,23567,17228,12999
long_wins,45020,29050,19705,13856,10136,7706
long_total_percent,69.16021423987212,60.67373719727181,51.93830190131921,43.38150272730574,36.95055375841637,33.39511461972495
long_average,0.0008760889544206141,0.0012141060791065717,0.0015523896912849092,0.0018407732306744914,0.0021447964800566733,0.0025690525901780866

currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,76823,47905,31830,22187,16024,12027
short_wins,42243,26888,18138,12782,9240,6978
short_total_percent,58.386694060193605,51.40707578444193,44.02067499400332,37.921509481387595,32.2344246034797,28.953786839311423
short_average,0.0007600158033426657,0.001073104598360128,0.0013829932451776099,0.0017091769721633207,0.0020116340865876,0.002407398922367292

currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,65432,40779,26512,18016,12613,9114
long_wins,35046,22245,14675,10020,7052,5146
long_total_percent,21.804175717531564,18.763405922746152,14.866367522400218,11.170176371984509,8.488808006092302,6.837611984549902
long_average,0.0003332341318854928,0.0004601242287144401,0.0005607410803560734,0.000620014230238927,0.0006730205348523192,0.0007502317297070334

currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,64280,39124,25231,16971,11884,8567
short_wins,32782,20374,13328,9024,6306,4542
short_total_percent,10.437643612539137,9.255290045743726,6.913275374146537,5.107513036428746,3.765407722563028,2.512176583813654
short_average,0.00016237777866426784,0.00023656298041467452,0.00027399926178695006,0.00030095533771897626,0.0003168468295660575,0.00029323877481191246

currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,118,54,29,18,14,11
long_wins,89,42,23,15,11,9
long_total_percent,0.2518552772681636,0.14175044090839012,0.10111521847224086,0.07721093857024021,0.06297807548396658,0.053947928225028176
long_average,0.002134366756509861,0.0026250081649701875,0.0034867316714565816,0.004289496587235567,0.004498433963140471,0.004904357111366198

currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,107,48,26,16,12,8
short_wins,78,33,17,10,8,7
short_total_percent,0.17089092055419014,0.09159119446486366,0.05637465922768136,0.041255579653841475,0.038113457519051167,0.037340518803090424
short_average,0.001597111407048506,0.0019081498846846596,0.0021682561241415906,0.002578473728365092,0.0031761214599209304,0.004667564850386303

currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,67456,43124,29299,20675,15118,11386
long_wins,38078,24748,16953,12005,8729,6637
long_total_percent,43.69001236805572,36.68834294398611,30.177500211377886,24.904418428290917,20.622754886107,17.941462377537107
long_average,0.0006476816349628754,0.000850763912067204,0.0010299839657113856,0.0012045667921785207,0.001364119254273515,0.001575747617911216

currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,65530,41624,28120,19819,14490,10969
