Currency,StartTime,EndTime,Days,Open,Close,High,Low,TradeValue,DailyTradeValue,TradeValue1Y,DailyTradeValue1Y
swmusd,1561401240000,1616758260000,640,0.139,0.052,1,0.0052,596044.849693185,931.320077645602,410446.911460693,1124.51208619368
b21x-usd,1628623380000,1630242720000,18,0.0913,0.084399,0.097499,0.077641,402525.818416268,22362.5454675704,402525.818416268,1102.81046141443
orsusd,1528993740000,1640941620000,1295,0.01,0.00091498,0.2,0.000502,6788214.55247192,5241.86451928334,388179.403992879,1063.50521641885
avtusd,1508587260000,1616827860000,1252,2.9299,0.56576,6.95,0.0499,90404762.5429272,72208.2767914754,388170.149867456,1063.47986265056
mimusd,1635412140000,1640954760000,64,0.99998,1,1.0165,0.96161,348230.913532337,5441.10802394277,348230.913532337,954.05729734887
dcrusd,1628155080000,1640950260000,148,135.5,71.141,185.55,60.408,346469.531787465,2341.0103499153,346469.531787465,949.231593938259
hotusd,1531405860000,1616829720000,988,0.05,0.026999,0.5,0.000789,1498493.5774093,1516.69390426043,329566.862729091,902.922911586551
iosusd,1523115900000,1616811180000,1084,0.024,0.046,0.099,0.0022,8529379.28871333,7868.43107814883,302275.083267357,828.150913061253
cndusd,1530210060000,1616825280000,1002,0.039,0.0348,0.1,0.0015634,479103.010813535,478.146717378777,296795.883340779,813.139406413094
astusd,1559042340000,1616804340000,668,0.2,0.538,1.98,0.0073,510271.392463567,763.87933003528,277101.412502423,759.181952061433
onlusd,1543943160000,1616828940000,843,0.084,0.0259,0.15842,0.00301,531037.375646891,629.937574907344,275291.588336294,754.223529688476
chex-usd,1628624700000,1630226760000,18,0.04137,0.03849,0.0441,0.0368,272109.219217105,15117.1788453947,272109.219217105,745.50471018385
drnusd,1541120160000,1616747100000,875,0.23166,0.24463,0.38998,0.01162,974406.146147133,1113.60702416815,205236.359994202,562.291397244388
mtnusd,1524430380000,1616826720000,1069,0.14479,0.007,0.2499,0.0012703,4378433.97373059,4095.82223922412,198675.874666817,544.317464840595
btse-usd,1628623080000,1630243080000,18,5.6469,5.5745,6.03,5.394,170529.837583693,9473.8798657607,170529.837583693,467.20503447587
rcnusd,1516808820000,1616811960000,1157,0.5,0.12519,1.45,0.010004,7167497.03592811,6194.89804315307,170350.985219396,466.715027998346
tknusd,1537533660000,1616757480000,916,0.489,0.28889,1.2,0.04,4514396.66542572,4928.38063911105,166943.547123102,457.379581159185
chsb-usd,1629795840000,1630241640000,5,1.17,0.89262,1.17,0.8191,145194.697870097,29038.9395740194,145194.697870097,397.793692794786
manusd,1533844800000,1616827020000,960,0.6,0.12102,0.739,0.012345,3421749.06247338,3564.32194007644,144680.304737812,396.38439654195
albt-usd,1629043680000,1630238040000,13,0.55125,0.95868,1.0951,0.55,134396.596954766,10338.1997657512,134396.596954766,368.209854670591
triusd,1561408080000,1616770320000,640,0.0265,0.0013126,0.5,0.00014875,204919.211088625,320.186267325976,112504.100082773,308.230411185679
forth-usd,1628644440000,1630233840000,18,17.546,18.64,22.135,14.309,105113.456919134,5839.63649550743,105113.456919134,287.982073751051
ncausd,1530209880000,1616789820000,1002,0.017,0.0044824,74,0.00012345,623402.119613906,622.157804005894,101987.376813775,279.417470722672
boxusd,1538533560000,1616826360000,906,0.013951,0.0038233,0.04,0.00093579,1502325.13392631,1658.19551205994,100982.089969235,276.663260189684
wprusd,1533291360000,1616791140000,966,0.032037,0.04626,0.88,0.0019876,324418.465763951,335.836921080694,83567.275800865,228.951440550315
dtausd,1531574940000,1616806020000,986,0.006103,0.0015507,0.009,0.00012345,459553.346863127,466.078445094449,75953.4624066436,208.091677826421
planets-usd,1628625540000,1630240380000,18,0.13409,0.13504,0.13551,0.12498,72616.9620854394,4034.2756714133,72616.9620854394,198.950581055998
best-usd,1628669940000,1629822720000,13,0.83777,1.09,1.8643,0.83777,72494.5271072761,5576.50208517508,72494.5271072761,198.615142759661
mgousd,1539970800000,1616828040000,889,0.566,0.026,0.81248,0.0025379,78639965.9292335,88458.9043073493,68485.0702349602,187.63032941085
zbtusd,1559036280000,1623670500000,748,0.4,0.22147,0.77353,0.081,2788616.01103775,3728.09627144084,51766.4347575912,141.825848650935
nutusd,1602276480000,1624024020000,251,25.865,8.7032,45,2.6162,54966.7166258244,218.99090289173,44197.2030030474,121.088227405609
eth2x-usd,1628660220000,1630145820000,17,3110,3165,3345.4,2785.1,34491.13101012,2028.89005941882,34491.13101012,94.4962493427945
velo-usd,1628645280000,1630185660000,17,0.35875,0.56314,7.67,0.35875,33324.0636103053,1960.23903590031,33324.0636103053,91.2988044117955
ringx-usd,1628627400000,1630177260000,17,0.028,0.025,0.0398,0.02201,30472.4557520863,1792.49739718154,30472.4557520863,83.4861801427021
eosdt-usd,1628644440000,1630241160000,18,0.99618,1.0269,1.0878,0.94232,1634.18352907734,90.7879738376301,1634.18352907734,4.4772151481571
uskusd,1560867960000,1624017540000,730,1.88,0.8801,28,0.31,1911.87649852659,2.61900890209122,910.15858288331,2.49358515858441
dtxusd,1565976780000,1616753940000,587,5,0.011,5.008,0.011,76824.6954459775,130.876823587696,277.661685206589,0.760716945771477
